Id,Word,Tag
0,Total,O
0,bill,O
0,for,O
0,this,O
0,horrible,O
0,service,O
0,?,O
0,Over,O
0,$,O
0,8Gs,O
0,.,O
0,These,O
0,crooks,O
0,actually,O
0,had,O
0,the,O
0,nerve,O
0,to,O
0,charge,O
0,us,O
0,$,O
0,69,O
0,for,O
0,3,O
0,pills,O
0,.,O
0,I,O
0,checked,O
0,online,O
0,the,O
0,pills,O
0,can,O
0,be,O
0,had,O
0,for,O
0,19,O
0,cents,O
0,EACH,O
0,!,O
0,Avoid,O
0,Hospital,O
0,ERs,O
0,at,O
0,all,O
0,costs,O
0,.,O
1,I,O
1,*,O
1,adore,O
1,*,O
1,Travis,B-RES
1,at,O
1,the,O
1,Hard,O
1,Rock,O
1,'s,O
1,new,O
1,Kelly,O
1,Cardenas,O
1,Salon,O
1,!,O
1,I,O
1,'m,O
1,always,O
1,a,O
1,fan,O
1,of,O
1,a,O
1,great,O
1,blowout,O
1,and,O
1,no,O
1,stranger,O
1,to,O
1,the,O
1,chains,O
1,that,O
1,offer,O
1,this,O
1,service,O
1,;,O
1,however,O
1,",",O
1,Travis,B-RES
1,has,O
1,taken,O
1,the,O
1,flawless,O
1,blowout,O
1,to,O
1,a,O
1,whole,O
1,new,O
1,level,O
1,!,O
1,Travis,B-RES
1,'s,O
1,greets,O
1,you,O
1,with,O
1,his,O
1,perfectly,O
1,green,O
1,swoosh,O
1,in,O
1,his,O
1,otherwise,O
1,perfectly,O
1,styled,O
1,black,O
1,hair,O
1,and,O
1,a,O
1,Vegas,O
1,-,O
1,worthy,O
1,rockstar,O
1,outfit,O
1,.,O
1,Next,O
1,comes,O
1,the,O
1,most,O
1,relaxing,O
1,and,O
1,incredible,O
1,shampoo,O
1,--,O
1,where,O
1,you,O
1,get,O
1,a,O
1,full,O
1,head,O
1,message,O
1,that,O
1,could,O
1,cure,O
1,even,O
1,the,O
1,very,O
1,worst,O
1,migraine,O
1,in,O
1,minutes,O
1,---,O
1,and,O
1,the,O
1,scented,O
1,shampoo,O
1,room,O
1,.,O
1,Travis,B-RES
1,has,O
1,freakishly,O
1,strong,O
1,fingers,O
1,(,O
1,in,O
1,a,O
1,good,O
1,way,O
1,),O
1,and,O
1,use,O
1,the,O
1,perfect,O
1,amount,O
1,of,O
1,pressure,O
1,.,O
1,That,O
1,was,O
1,superb,O
1,!,O
1,Then,O
1,starts,O
1,the,O
1,glorious,O
1,blowout,O
1,...,O
1,where,O
1,not,O
1,one,O
1,",",O
1,not,O
1,two,O
1,",",O
1,but,O
1,THREE,O
1,people,O
1,were,O
1,involved,O
1,in,O
1,doing,O
1,the,O
1,best,O
1,round,O
1,-,O
1,brush,O
1,action,O
1,my,O
1,hair,O
1,has,O
1,ever,O
1,seen,O
1,.,O
1,The,O
1,team,O
1,of,O
1,stylists,O
1,clearly,O
1,gets,O
1,along,O
1,extremely,O
1,well,O
1,",",O
1,as,O
1,it,O
1,'s,O
1,evident,O
1,from,O
1,the,O
1,way,O
1,they,O
1,talk,O
1,to,O
1,and,O
1,help,O
1,one,O
1,another,O
1,that,O
1,it,O
1,'s,O
1,really,O
1,genuine,O
1,and,O
1,not,O
1,some,O
1,corporate,O
1,requirement,O
1,.,O
1,It,O
1,was,O
1,so,O
1,much,O
1,fun,O
1,to,O
1,be,O
1,there,O
1,!,O
1,Next,O
1,Travis,B-RES
1,started,O
1,with,O
1,the,O
1,flat,O
1,iron,O
1,.,O
1,The,O
1,way,O
1,he,O
1,flipped,O
1,his,O
1,wrist,O
1,to,O
1,get,O
1,volume,O
1,all,O
1,around,O
1,without,O
1,over,O
1,-,O
1,doing,O
1,it,O
1,and,O
1,making,O
